source_row_id,date,invoice_id,item_number,description,reason
7,2025-04-05,7161,Miscellaneous,"6""30/130 220 x 70",unknown category
19,2025-04-24,7222,Miscellaneous,dog bed - TAKEN,unknown category
28,2007-05-09,13964,F31/320,MA31/320 2 pieces 22.5X30X15cm,unknown category
41,2007-08-18,15413,F27/30R,"27/30R, 1 piece 170*50cm at 5cm hight",unknown category
44,2007-09-26,15964,F27/30R,"27/30R, 1 piece 160cm X 60cm at 7.5cm Hight",unknown category
45,2007-10-13,16209,IT 60 Corn Terra Cota,Interlock 60 Corn Terra Cota,unknown category
46,2007-10-13,16209,IT 60 Edge Terra Cota,Interlock 60 Edge Terra Cota,unknown category
52,2007-10-25,16404,Cu10,Cutting Fee,unknown category
55,2007-11-27,16945,F27/30R,"27/30R piece, 1 piece 46cm X 40cm by 11cm high",unknown category
56,2007-11-27,16945,Miscellaneous,**See Book for diagram** Cut out circle**,unknown category
57,2007-12-17,17282,F27/30R,"27/30R, 1 pieces 37*130cm by 7.5cm high",unknown category
62,2008-03-05,18032,IT 60 Edge Black,Interlock 60 Edge Black,unknown category
66,2008-04-22,19040,F16/110,AA16/110 1 piece 208*189cm by 1cm high,unknown category
68,2008-05-13,19322,"6""35/200","6"" 35/200 2 pieces 67*56cm",unknown category
84,2008-11-24,21920,Wedg -  Cot  Reflux,720*910*150-0 in 23/130  10deg,unknown category
87,2008-12-12,22195,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
88,2008-12-12,22195,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
105,2009-01-08,22569,Webbing,Webbing (m),unknown category
111,2009-01-14,22644,Miscellaneous,"Miscellaneous   2"" 16/110",unknown category
112,2009-01-20,22732,Miscellaneous,Miscellaneous,unknown category
117,2009-02-24,23172,F27/30R,27/30R piece 1210 * 755 * 90mm Cut to oval Template,unknown category
128,2009-03-17,23471,OKB,King Overlay Budget cut to 15cm X 22cm 108 pieces ,unknown category
129,2009-03-21,23536,OKB,King Overlay Budget,unknown category
130,2009-03-23,23543,"6""35/200","6"" 35/200 1 piece 170cm X 30cm",unknown category
131,2009-03-26,23588,Miscellaneous,1.5cm * 1.5cm Backing Rods in 29/400,unknown category
140,2009-05-04,24091,HS 12mm 29/200,HS 12mm 29/200,unknown category
141,2009-05-04,24091,HS 12mm 29/200,HS 12mm 29/200,unknown category
149,2009-05-15,24253,Miscellaneous,3 WEDGES where A=1450mm B=520mm C=200mm D=120mm,unknown category
152,2009-05-15,24253,Miscellaneous,Delvery Charge,unknown category
153,2009-05-15,24265,Wedge -  Car Seat,450*450*75-0 wedge in 42/500,unknown category
154,2009-05-15,24265,Miscellaneous,Return on Wedge,unknown category
167,2009-06-09,24600,Miscellaneous,return,unknown category
193,2009-06-30,24873,,,unknown category
209,2009-07-01,24880,Miscellaneous,cutting fee,unknown category
211,2009-07-01,24882,Miscellaneous,"29/400 1""",unknown category
221,2009-07-02,24890,F23/130,AA23/130 piece,unknown category
235,2009-07-02,24895,Invoice,Invoice equalization,unknown category
238,2009-07-02,24897,Miscellaneous,Cutting & Gluing,unknown category
239,2009-07-02,24898,Miscellaneous,Miscellaneous,unknown category
253,2009-07-03,24904,Miscellaneous,"1.5"" 540mm x 245mm",unknown category
254,2009-07-03,24904,Miscellaneous,"1"", 540mm X 260mm",unknown category
